 , date,rtt(ns),GUID,type,seq#,success/fail,,,,,,,,,,,,,
 ,[12:16:45.890],-,TRACE,-,main/GNRSServer,-,Loading,configuration,file,rock-configs/current/server.xml.,,,,,,,,,
,[12:16:45.934],-,INFO,-,main/IPv4UDPGUIDMapper,-,Finished,loading,prefix,map.,,,,,,,,,
,[12:16:45.936],-,INFO,-,main/IPv4UDPGUIDMapper,-,Finished,loading,AS,network,binding,values.,,,,,,,
,[12:16:46.444],-,TRACE,-,main/GNRSServer,-,GNRS,server,thread,started.,,,,,,,,,
,[12:16:47.458],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:16:48.452],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:16:49.452],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:16:50.452],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:16:51.452],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:16:52.452],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:16:53.452],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:16:54.452],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:16:55.452],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:16:56.452],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:16:56.456],-,INFO,-,Timer-0/BerkeleyDBStore$StatsTask,-,BDB,Cache,Misses:,18,,,,,,,,,
,[12:16:57.452],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:16:58.452],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:16:59.453],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:17:00.453],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:17:01.453],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:17:02.453],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,[12:17:03.453],-,INFO,-,Timer-0/GNRSServer$StatsTask,-,,,,,,,,,,,,,
